Time (s)	Pc (psi)	SigD (psi)	Ex (E)	Ey (E)
0	1500	12.31376	1.80E-03	2.10E-03
1	1500	13.13412	1.79E-03	2.11E-03
2	1500	12.07136	1.80E-03	2.11E-03
3	1500	11.90629	1.80E-03	2.11E-03
4	1500	11.02106	1.80E-03	2.11E-03
5	1500	9.342437	1.80E-03	2.11E-03
6	1500	10.99625	1.80E-03	2.11E-03
7	1500	13.64698	1.80E-03	2.11E-03
8	1500	10.22238	1.80E-03	2.11E-03
9	1500	11.42765	1.80E-03	2.11E-03
10	1500	12.70025	1.80E-03	2.11E-03
11	1500	13.31819	1.80E-03	2.11E-03
12	1500	12.37209	1.80E-03	2.11E-03
13	1500	11.99922	1.80E-03	2.11E-03
14	1500	15.7663	1.80E-03	2.12E-03
15	1500	12.36413	1.80E-03	2.12E-03
16	1500	11.48813	1.80E-03	2.12E-03
17	1500	12.02317	1.80E-03	2.12E-03
18	1500	12.01657	1.80E-03	2.12E-03
19	1500	7.637846	1.80E-03	2.12E-03
20	1500	12.53775	1.80E-03	2.12E-03
21	1500	11.17991	1.80E-03	2.12E-03
22	1500	12.43014	1.80E-03	2.12E-03
22.4001	1500	12.15198	1.80E-03	2.12E-03
23.4001	1500	14.42081	1.80E-03	2.12E-03
24.4001	1500	14.15829	1.80E-03	2.12E-03
25.4001	1500	12.22755	1.81E-03	2.12E-03
26.4001	1500	15.01696	1.81E-03	2.12E-03
27.4001	1500	12.29556	1.81E-03	2.12E-03
28.4001	1500	20.20421	1.81E-03	2.13E-03
29.4001	1500	158.6351	1.84E-03	2.12E-03
30.4001	1500	156.905	1.84E-03	2.11E-03
31.4001	1500	165.5606	1.84E-03	2.11E-03
32.4001	1500	165.015	1.84E-03	2.11E-03
33.4001	1500	182.1795	1.85E-03	2.11E-03
34.4001	1500	188.717	1.85E-03	2.11E-03
35.4001	1500	196.5665	1.85E-03	2.11E-03
36.4001	1500	201.5919	1.86E-03	2.11E-03
37.4001	1500	204.9379	1.86E-03	2.11E-03
38.4001	1500	230.9037	1.86E-03	2.11E-03
39.4001	1500	229.342	1.87E-03	2.11E-03
40.4001	1500	242.0151	1.87E-03	2.11E-03
41.4001	1500	248.2779	1.87E-03	2.10E-03
42.4001	1500	253.22	1.88E-03	2.10E-03
43.4001	1500	268.6893	1.88E-03	2.10E-03
44.4001	1500	276.7925	1.89E-03	2.10E-03
45.4001	1500	293.2061	1.89E-03	2.10E-03
46.4001	1500	306.5012	1.89E-03	2.10E-03
47.4001	1500	320.7076	1.90E-03	2.10E-03
48.4001	1500	323.1305	1.90E-03	2.09E-03
49.4001	1500	337.4301	1.91E-03	2.09E-03
50.4001	1500	339.9174	1.91E-03	2.09E-03
51.4001	1500	357.4862	1.92E-03	2.09E-03
52.4001	1500	372.023	1.92E-03	2.09E-03
53.4001	1500	380.9556	1.92E-03	2.09E-03
54.4001	1500	395.5195	1.93E-03	2.09E-03
55.4001	1500	401.448	1.93E-03	2.08E-03
56.4001	1500	419.9007	1.94E-03	2.08E-03
57.4001	1500	421.9607	1.94E-03	2.08E-03
58.4001	1500	440.2715	1.94E-03	2.08E-03
59.4001	1500	451.8905	1.95E-03	2.08E-03
60.4001	1500	458.6935	1.95E-03	2.07E-03
61.4001	1500	474.9548	1.95E-03	2.07E-03
62.4001	1500	486.1647	1.96E-03	2.07E-03
63.4001	1500	496.4044	1.96E-03	2.07E-03
64.4001	1500	503.8181	1.97E-03	2.07E-03
65.4001	1500	517.8191	1.97E-03	2.07E-03
66.4001	1500	531.7355	1.98E-03	2.07E-03
67.4001	1500	534.264	1.98E-03	2.06E-03
68.4001	1500	553.5214	1.98E-03	2.06E-03
69.4001	1500	560.3446	1.99E-03	2.06E-03
70.4001	1500	568.6371	1.99E-03	2.06E-03
71.4001	1500	584.1071	1.99E-03	2.06E-03
72.4001	1500	606.436	2.00E-03	2.06E-03
73.4001	1500	612.846	2.00E-03	2.06E-03
74.4001	1500	624.4221	2.01E-03	2.06E-03
75.4001	1500	639.7147	2.01E-03	2.05E-03
76.4	1500	646.1507	2.01E-03	2.05E-03
77.4	1500	655.8701	2.02E-03	2.05E-03
78.4	1500	672.1783	2.02E-03	2.05E-03
79.4	1500	684.7852	2.03E-03	2.05E-03
80.4	1500	698.9478	2.03E-03	2.05E-03
81.4	1500	706.4562	2.03E-03	2.05E-03
82.4	1500	717.1633	2.04E-03	2.04E-03
83.4	1500	735.6168	2.04E-03	2.04E-03
84.4	1500	743.0477	2.05E-03	2.04E-03
85.4	1500	750.1569	2.05E-03	2.04E-03
86.4	1500	769.7241	2.05E-03	2.04E-03
87.4	1500	780.5137	2.06E-03	2.04E-03
88.4	1500	788.1056	2.06E-03	2.03E-03
89.4	1500	800.9437	2.07E-03	2.03E-03
90.4	1500	811.2918	2.07E-03	2.03E-03
91.4	1500	828.6123	2.07E-03	2.03E-03
92.4	1500	843.3139	2.08E-03	2.03E-03
93.4	1500	850.9228	2.08E-03	2.02E-03
94.4	1500	863.1016	2.09E-03	2.02E-03
95.4	1500	874.0178	2.09E-03	2.02E-03
96.4	1500	892.9811	2.09E-03	2.02E-03
97.4	1500	901.046	2.10E-03	2.02E-03
98.4	1500	913.0806	2.10E-03	2.02E-03
99.4	1500	928.9152	2.11E-03	2.02E-03
100.4	1500	932.7354	2.11E-03	2.00E-03
101.4	1500	943.8019	2.11E-03	2.00E-03
102.4	1500	951.978	2.12E-03	2.00E-03
103.4	1500	967.1415	2.12E-03	2.00E-03
104.4	1500	983.5725	2.13E-03	2.00E-03
105.4	1500	996.5376	2.13E-03	2.00E-03
106.4	1500	1004.96	2.13E-03	2.00E-03
107.4	1500	1019.79	2.14E-03	2.00E-03
108.4	1500	1035.582	2.14E-03	2.00E-03
109.4	1500	1046.679	2.15E-03	2.00E-03
110.4	1500	1062.921	2.15E-03	1.99E-03
111.4	1500	1079.947	2.15E-03	1.99E-03
112.4	1500	1097.742	2.16E-03	1.99E-03
113.4	1500	1102.489	2.16E-03	1.99E-03
114.4	1500	1127.114	2.17E-03	1.99E-03
115.4	1500	1132.291	2.17E-03	1.99E-03
116.4	1500	1150.909	2.17E-03	1.99E-03
117.4	1500	1164.992	2.18E-03	1.98E-03
118.4	1500	1176.319	2.18E-03	1.98E-03
119.4	1500	1186.744	2.19E-03	1.98E-03
120.4	1500	1200.425	2.19E-03	1.98E-03
121.4	1500	1212.79	2.19E-03	1.98E-03
122.4	1500	1240.374	2.20E-03	1.98E-03
123.4	1500	1243.811	2.20E-03	1.98E-03
124.4	1500	1259.265	2.21E-03	1.98E-03
125.4	1500	1278.637	2.21E-03	1.98E-03
126.4	1500	1285.934	2.21E-03	1.97E-03
127.4	1500	1300.25	2.22E-03	1.97E-03
128.4	1500	1315.455	2.22E-03	1.97E-03
129.4	1500	1323.62	2.23E-03	1.97E-03
130.4	1500	1342.417	2.23E-03	1.97E-03
131.4	1500	1350.024	2.23E-03	1.97E-03
132.4	1500	1364.714	2.24E-03	1.97E-03
133.4	1500	1382.239	2.24E-03	1.97E-03
134.4	1500	1392.725	2.25E-03	1.97E-03
135.4	1500	1414.653	2.25E-03	1.97E-03
136.4	1500	1424.837	2.26E-03	1.97E-03
137.4	1500	1440.547	2.26E-03	1.97E-03
138.4	1500	1449.315	2.26E-03	1.96E-03
139.4	1500	1472.405	2.27E-03	1.96E-03
140.4	1500	1482.236	2.27E-03	1.96E-03
141.4	1500	1492.481	2.27E-03	1.96E-03
142.4	1500	1507.941	2.28E-03	1.96E-03
143.4	1500	1518.968	2.28E-03	1.96E-03
144.4	1500	1534.289	2.29E-03	1.96E-03
145.4	1500	1549.513	2.29E-03	1.96E-03
146.4	1500	1560.436	2.29E-03	1.96E-03
147.4	1500	1566.345	2.30E-03	1.96E-03
148.4	1500	1588.095	2.30E-03	1.95E-03
149.4	1500	1601.361	2.31E-03	1.95E-03
150.4	1500	1607.936	2.31E-03	1.95E-03
151.4	1500	1625.526	2.31E-03	1.95E-03
152.4	1500	1640.011	2.32E-03	1.95E-03
153.4	1500	1658.718	2.32E-03	1.95E-03
154.4	1500	1673.612	2.33E-03	1.95E-03
155.4	1500	1684.601	2.33E-03	1.95E-03
156.4	1500	1697.983	2.34E-03	1.95E-03
157.4	1500	1712.953	2.34E-03	1.95E-03
158.4	1500	1723.158	2.34E-03	1.95E-03
159.4	1500	1738.25	2.35E-03	1.94E-03
160.4	1500	1765.344	2.35E-03	1.94E-03
161.4	1500	1774.416	2.36E-03	1.94E-03
162.4	1500	1786.578	2.36E-03	1.94E-03
163.4	1500	1799.958	2.36E-03	1.94E-03
164.4	1500	1815.834	2.37E-03	1.94E-03
165.4	1500	1825.738	2.37E-03	1.94E-03
166.4	1500	1850.32	2.37E-03	1.94E-03
167.4	1500	1852.877	2.38E-03	1.94E-03
168.4	1500	1869.566	2.38E-03	1.94E-03
169.4	1500	1879.703	2.39E-03	1.94E-03
170.4	1500	1888.858	2.39E-03	1.94E-03
171.4	1500	1911.037	2.39E-03	1.94E-03
172.4	1500	1932.911	2.40E-03	1.94E-03
173.4	1500	1938.263	2.40E-03	1.94E-03
174.4	1500	1952.497	2.41E-03	1.93E-03
175.4	1500	1971.317	2.41E-03	1.93E-03
176.4	1500	1978.154	2.42E-03	1.94E-03
177.4	1500	1990.664	2.42E-03	1.93E-03
178.4	1500	2013.962	2.42E-03	1.93E-03
179.4	1500	2016.605	2.42E-03	1.93E-03
180.4	1500	2028.951	2.43E-03	1.93E-03
181.4	1500	2045.298	2.43E-03	1.93E-03
182.4	1500	2059.057	2.44E-03	1.93E-03
183.4	1500	2065.644	2.44E-03	1.93E-03
184.4	1500	2084.209	2.45E-03	1.93E-03
185.4	1500	2097.294	2.45E-03	1.93E-03
186.4	1500	2109.152	2.45E-03	1.93E-03
187.4	1500	2131.71	2.46E-03	1.93E-03
188.4	1500	2139.73	2.46E-03	1.93E-03
189.4	1500	2171.114	2.47E-03	1.93E-03
190.4	1500	2174.8	2.47E-03	1.93E-03
191.4	1500	2192.735	2.47E-03	1.93E-03
192.4	1500	2200.408	2.48E-03	1.93E-03
193.4	1500	2222.836	2.48E-03	1.93E-03
194.4	1500	2233.528	2.49E-03	1.93E-03
195.4	1500	2242.886	2.49E-03	1.93E-03
196.4	1500	2258.594	2.49E-03	1.93E-03
197.4	1500	2263.495	2.50E-03	1.93E-03
198.4	1500	2277.747	2.50E-03	1.93E-03
199.4	1500	2298.431	2.51E-03	1.93E-03
200.4	1500	2308.486	2.51E-03	1.93E-03
201.4	1500	2325.576	2.51E-03	1.93E-03
202.4	1500	2340.198	2.52E-03	1.93E-03
203.4	1500	2359.753	2.52E-03	1.93E-03
204.4	1500	2363.154	2.53E-03	1.93E-03
205.4	1500	2372.898	2.53E-03	1.93E-03
206.4	1500	2392.285	2.53E-03	1.93E-03
207.4	1500	2410.213	2.54E-03	1.93E-03
208.4	1500	2426.345	2.54E-03	1.93E-03
209.4	1500	2429.909	2.55E-03	1.93E-03
210.4	1500	2448.707	2.55E-03	1.92E-03
211.4	1500	2463.247	2.55E-03	1.92E-03
212.4	1500	2491.183	2.56E-03	1.92E-03
213.4	1500	2490.307	2.56E-03	1.92E-03
214.4	1500	2503.917	2.57E-03	1.92E-03
215.4	1500	2521.061	2.57E-03	1.92E-03
216.4	1500	2541.255	2.57E-03	1.92E-03
217.4	1500	2548.858	2.58E-03	1.92E-03
218.4	1500	2559.68	2.58E-03	1.92E-03
219.4	1500	2571.323	2.59E-03	1.92E-03
220.4	1500	2594.749	2.59E-03	1.92E-03
221.4	1500	2608.723	2.60E-03	1.92E-03
222.4	1500	2624.93	2.60E-03	1.92E-03
223.4	1500	2632.757	2.60E-03	1.92E-03
224.4	1500	2643.755	2.61E-03	1.92E-03
225.4	1500	2663.318	2.61E-03	1.92E-03
226.4	1500	2674.461	2.61E-03	1.92E-03
227.4	1500	2687.712	2.62E-03	1.92E-03
228.4	1500	2707.857	2.62E-03	1.92E-03
229.4	1500	2720.209	2.63E-03	1.91E-03
230.4	1500	2738.926	2.63E-03	1.91E-03
231.4	1500	2744.609	2.64E-03	1.91E-03
232.4	1500	2756.169	2.64E-03	1.91E-03
233.4	1500	2768.158	2.64E-03	1.91E-03
234.4	1500	2788.167	2.65E-03	1.91E-03
235.4	1500	2798.959	2.65E-03	1.91E-03
236.4	1500	2810.552	2.65E-03	1.91E-03
237.4	1500	2828.445	2.66E-03	1.91E-03
238.4	1500	2849.352	2.66E-03	1.91E-03
239.4	1500	2858.293	2.67E-03	1.91E-03
240.4	1500	2876.086	2.67E-03	1.91E-03
241.4	1500	2878.72	2.67E-03	1.91E-03
242.4	1500	2906.624	2.68E-03	1.90E-03
243.4	1500	2911.401	2.68E-03	1.91E-03
244.4	1500	2931.826	2.69E-03	1.90E-03
245.4	1500	2944.517	2.69E-03	1.90E-03
246.4	1500	2955.351	2.69E-03	1.90E-03
247.4	1500	2972.753	2.70E-03	1.90E-03
248.4	1500	2992.352	2.70E-03	1.90E-03
249.4	1500	2999.762	2.71E-03	1.90E-03
250.4	1500	3016.053	2.71E-03	1.90E-03
251.4	1500	3030.064	2.71E-03	1.90E-03
252.4	1500	3045.91	2.72E-03	1.90E-03
253.4	1500	3070.811	2.72E-03	1.90E-03
254.4	1500	3078.893	2.73E-03	1.89E-03
255.4	1500	3092.502	2.73E-03	1.89E-03
256.4	1500	3112.632	2.73E-03	1.89E-03
257.4	1500	3121.967	2.74E-03	1.89E-03
258.4	1500	3135.339	2.74E-03	1.89E-03
259.4	1500	3150.449	2.75E-03	1.89E-03
260.4	1500	3158.506	2.75E-03	1.89E-03
261.4	1500	3175.657	2.75E-03	1.89E-03
262.4	1500	3189.083	2.76E-03	1.89E-03
263.4	1500	3202.846	2.76E-03	1.89E-03
264.4	1500	3222.034	2.77E-03	1.88E-03
265.4	1500	3230.198	2.77E-03	1.88E-03
266.4	1500	3239.766	2.77E-03	1.88E-03
267.4	1500	3256.307	2.78E-03	1.88E-03
268.4	1500	3264.048	2.78E-03	1.88E-03
269.4	1500	3288.279	2.79E-03	1.88E-03
270.4	1500	3301.035	2.79E-03	1.88E-03
271.4	1500	3322.014	2.79E-03	1.88E-03
272.4	1500	3333.062	2.80E-03	1.88E-03
273.4	1500	3338.281	2.80E-03	1.88E-03
274.4	1500	3360.793	2.81E-03	1.88E-03
275.4	1500	3380.273	2.81E-03	1.87E-03
276.4	1500	3385.178	2.81E-03	1.87E-03
277.4	1500	3397.026	2.82E-03	1.87E-03
278.4	1500	3415.386	2.82E-03	1.87E-03
279.4	1500	3435.861	2.83E-03	1.87E-03
280.4	1500	3447.847	2.83E-03	1.87E-03
281.4	1500	3457.333	2.84E-03	1.87E-03
282.4	1500	3463.242	2.84E-03	1.87E-03
283.4	1500	3479.175	2.84E-03	1.87E-03
284.4	1500	3501.592	2.85E-03	1.87E-03
285.4	1500	3508.765	2.85E-03	1.87E-03
286.4	1500	3523.166	2.85E-03	1.86E-03
287.4	1500	3536.048	2.86E-03	1.86E-03
288.4	1500	3550.772	2.86E-03	1.86E-03
289.4	1500	3567.898	2.87E-03	1.86E-03
290.4	1500	3578.404	2.87E-03	1.86E-03
291.4	1500	3598.388	2.87E-03	1.86E-03
292.4	1500	3609.83	2.88E-03	1.86E-03
293.4	1500	3614.514	2.88E-03	1.86E-03
294.4	1500	3623.515	2.89E-03	1.86E-03
295.4	1500	3642.607	2.89E-03	1.86E-03
296.4	1500	3652.565	2.90E-03	1.86E-03
297.4	1500	3681.445	2.90E-03	1.85E-03
298.4	1500	3695.244	2.90E-03	1.85E-03
299.4	1500	3690.485	2.91E-03	1.85E-03
300.4	1500	3718.678	2.91E-03	1.85E-03
301.4	1500	3725.321	2.91E-03	1.85E-03
302.4	1500	3737.005	2.92E-03	1.85E-03
303.4	1500	3753.201	2.92E-03	1.85E-03
304.4	1500	3769.598	2.93E-03	1.85E-03
305.4	1500	3779.266	2.93E-03	1.85E-03
306.4	1500	3794.457	2.93E-03	1.85E-03
307.4	1500	3803.105	2.94E-03	1.85E-03
308.4	1500	3815.712	2.94E-03	1.85E-03
309.4	1500	3832.793	2.95E-03	1.85E-03
310.4	1500	3836.989	2.95E-03	1.85E-03
311.4	1500	3854.511	2.95E-03	1.84E-03
312.4	1500	3861.988	2.96E-03	1.84E-03
313.4	1500	3882.328	2.96E-03	1.84E-03
314.4	1500	3885.358	2.97E-03	1.84E-03
315.4	1500	3919.672	2.97E-03	1.84E-03
316.4	1500	3933.339	2.97E-03	1.84E-03
317.4	1500	3930.698	2.98E-03	1.84E-03
318.4	1500	3942.462	2.98E-03	1.84E-03
319.4	1500	3962.388	2.99E-03	1.84E-03
320.4	1500	3979.949	2.99E-03	1.84E-03
321.4	1500	3984.084	2.99E-03	1.84E-03
322.4	1500	4005.92	3.00E-03	1.83E-03
322.67	1500	4007.425	3.00E-03	1.83E-03
323.67	1500	3977.219	2.99E-03	1.84E-03
324.67	1500	3949.063	2.99E-03	1.84E-03
325.67	1500	3910.819	2.99E-03	1.84E-03
326.67	1500	3879.96	2.98E-03	1.85E-03
327.67	1500	3842.842	2.98E-03	1.85E-03
328.67	1500	3794.258	2.97E-03	1.85E-03
329.67	1500	3757.754	2.97E-03	1.86E-03
330.67	1500	3707.85	2.97E-03	1.86E-03
331.67	1500	3662.075	2.96E-03	1.86E-03
332.67	1500	3623.944	2.96E-03	1.86E-03
333.67	1500	3599.249	2.96E-03	1.86E-03
334.67	1500	3550.389	2.95E-03	1.86E-03
335.67	1500	3528.703	2.95E-03	1.86E-03
336.67	1500	3495.93	2.94E-03	1.86E-03
337.67	1500	3472.509	2.94E-03	1.86E-03
338.67	1500	3449.242	2.93E-03	1.86E-03
339.67	1500	3417.499	2.93E-03	1.87E-03
340.67	1500	3391.168	2.93E-03	1.87E-03
341.67	1500	3382.387	2.92E-03	1.87E-03
342.67	1500	3357.603	2.92E-03	1.87E-03
343.67	1500	3325.38	2.92E-03	1.87E-03
344.67	1500	3301.955	2.91E-03	1.87E-03
345.67	1500	3266.975	2.91E-03	1.87E-03
346.67	1500	3252.283	2.90E-03	1.87E-03
347.67	1500	3231.438	2.90E-03	1.87E-03
348.67	1500	3206.852	2.90E-03	1.88E-03
349.592	1500	3193.269	2.89E-03	1.88E-03
350.592	1500	3187.146	2.89E-03	1.88E-03
351.592	1500	3218.503	2.90E-03	1.87E-03
352.592	1500	3258.048	2.90E-03	1.87E-03
353.592	1500	3301.588	2.91E-03	1.87E-03
354.592	1500	3353.664	2.91E-03	1.87E-03
355.592	1500	3394.918	2.91E-03	1.87E-03
356.592	1500	3437.919	2.92E-03	1.86E-03
357.592	1500	3478.529	2.92E-03	1.86E-03
358.592	1500	3536.201	2.93E-03	1.86E-03
359.592	1500	3565.516	2.93E-03	1.86E-03
360.592	1500	3610.721	2.93E-03	1.86E-03
361.592	1500	3654.77	2.94E-03	1.86E-03
362.592	1500	3693.071	2.94E-03	1.86E-03
363.592	1500	3713.888	2.95E-03	1.86E-03
364.592	1500	3722.674	2.95E-03	1.86E-03
365.592	1500	3735.658	2.95E-03	1.86E-03
366.592	1500	3755.584	2.96E-03	1.86E-03
367.592	1500	3774.124	2.96E-03	1.86E-03
368.592	1500	3814.909	2.97E-03	1.85E-03
369.592	1500	3830.21	2.97E-03	1.85E-03
370.592	1500	3839.97	2.98E-03	1.85E-03
371.592	1500	3861.95	2.98E-03	1.85E-03
372.592	1500	3889.272	2.98E-03	1.85E-03
373.592	1500	3915.231	2.99E-03	1.85E-03
374.592	1500	3921.824	2.99E-03	1.85E-03
375.592	1500	3951.773	3.00E-03	1.85E-03
376.592	1500	3970.739	3.00E-03	1.85E-03
377.592	1500	3987.079	3.00E-03	1.84E-03
378.592	1500	4003.487	3.01E-03	1.84E-03
379.592	1500	4012.349	3.01E-03	1.84E-03
380.592	1500	4027.062	3.02E-03	1.84E-03
381.592	1500	4047.466	3.02E-03	1.84E-03
382.592	1500	4076.95	3.02E-03	1.84E-03
383.592	1500	4087.414	3.03E-03	1.84E-03
384.592	1500	4087.968	3.03E-03	1.84E-03
385.592	1500	4112.078	3.03E-03	1.84E-03
386.592	1500	4131.146	3.04E-03	1.84E-03
387.592	1500	4137.009	3.04E-03	1.84E-03
388.592	1500	4140.892	3.05E-03	1.84E-03
389.592	1500	4165.065	3.05E-03	1.83E-03
390.592	1500	4192.918	3.05E-03	1.84E-03
391.592	1500	4193.173	3.06E-03	1.83E-03
392.592	1500	4207.375	3.06E-03	1.83E-03
393.592	1500	4216.799	3.07E-03	1.83E-03
394.592	1500	4225.74	3.07E-03	1.83E-03
395.592	1500	4248.993	3.08E-03	1.83E-03
396.592	1500	4274.43	3.08E-03	1.83E-03
397.592	1500	4263.876	3.08E-03	1.83E-03
398.592	1500	4286.851	3.09E-03	1.83E-03
399.592	1500	4293.163	3.09E-03	1.83E-03
400.592	1500	4302.344	3.09E-03	1.83E-03
401.592	1500	4319.35	3.10E-03	1.82E-03
402.592	1500	4336.444	3.10E-03	1.82E-03
403.592	1500	4341.369	3.11E-03	1.82E-03
404.592	1500	4372.955	3.11E-03	1.82E-03
405.592	1500	4362.296	3.12E-03	1.82E-03
406.592	1500	4380.713	3.12E-03	1.82E-03
407.592	1500	4403.345	3.12E-03	1.82E-03
408.592	1500	4407.798	3.13E-03	1.82E-03
409.592	1500	4434.16	3.13E-03	1.82E-03
410.592	1500	4426.743	3.13E-03	1.82E-03
411.592	1500	4456.905	3.14E-03	1.82E-03
412.592	1500	4465.577	3.14E-03	1.82E-03
413.592	1500	4478.822	3.15E-03	1.82E-03
414.592	1500	4472.57	3.15E-03	1.82E-03
415.592	1500	4489.504	3.15E-03	1.82E-03
416.592	1500	4513.047	3.16E-03	1.81E-03
417.592	1500	4523.483	3.16E-03	1.81E-03
418.592	1500	4549.917	3.17E-03	1.81E-03
419.592	1500	4554.494	3.17E-03	1.81E-03
420.592	1500	4550.142	3.18E-03	1.81E-03
421.592	1500	4579.753	3.18E-03	1.81E-03
422.592	1500	4590.229	3.18E-03	1.81E-03
423.592	1500	4605.315	3.19E-03	1.81E-03
424.592	1500	4625.696	3.19E-03	1.81E-03
425.592	1500	4608.981	3.19E-03	1.81E-03
426.592	1500	4652.273	3.20E-03	1.80E-03
427.592	1500	4659.283	3.20E-03	1.80E-03
428.592	1500	4663.792	3.21E-03	1.80E-03
429.592	1500	4671.56	3.21E-03	1.80E-03
430.592	1500	4686.203	3.21E-03	1.80E-03
431.592	1500	4696.811	3.22E-03	1.80E-03
432.592	1500	4713.493	3.22E-03	1.80E-03
433.592	1500	4736.327	3.22E-03	1.80E-03
434.592	1500	4740.343	3.23E-03	1.80E-03
435.592	1500	4751.686	3.24E-03	1.80E-03
436.592	1500	4769.39	3.24E-03	1.80E-03
437.592	1500	4775.434	3.24E-03	1.80E-03
438.592	1500	4789.008	3.25E-03	1.79E-03
439.592	1500	4792.864	3.25E-03	1.79E-03
440.592	1500	4832.39	3.26E-03	1.79E-03
441.592	1500	4839.508	3.26E-03	1.79E-03
442.592	1500	4844.292	3.26E-03	1.79E-03
443.592	1500	4847.444	3.27E-03	1.79E-03
444.592	1500	4869.808	3.27E-03	1.79E-03
445.592	1500	4885.582	3.27E-03	1.79E-03
446.592	1500	4888.909	3.28E-03	1.79E-03
447.592	1500	4898.598	3.28E-03	1.79E-03
448.592	1500	4925.898	3.29E-03	1.79E-03
449.592	1500	4921.596	3.29E-03	1.79E-03
450.592	1500	4940.013	3.29E-03	1.78E-03
451.592	1500	4951.871	3.30E-03	1.78E-03
452.592	1500	4948.681	3.30E-03	1.78E-03
453.592	1500	4971.49	3.31E-03	1.78E-03
454.592	1500	4970.972	3.31E-03	1.78E-03
455.592	1500	4999.171	3.31E-03	1.78E-03
456.592	1500	5003.414	3.32E-03	1.78E-03
457.592	1500	5012.688	3.32E-03	1.78E-03
458.592	1500	5040.726	3.33E-03	1.78E-03
459.592	1500	5046.937	3.33E-03	1.78E-03
460.592	1500	5062.893	3.34E-03	1.77E-03
461.592	1500	5074.185	3.34E-03	1.77E-03
462.592	1500	5083.996	3.34E-03	1.77E-03
463.592	1500	5091.37	3.35E-03	1.77E-03
464.592	1500	5122.052	3.35E-03	1.77E-03
465.592	1500	5127.289	3.36E-03	1.77E-03
466.592	1500	5124.586	3.36E-03	1.77E-03
467.592	1500	5155.118	3.36E-03	1.77E-03
468.592	1500	5161.999	3.37E-03	1.77E-03
469.592	1500	5168.861	3.37E-03	1.76E-03
470.592	1500	5189.779	3.38E-03	1.76E-03
471.592	1500	5193.375	3.38E-03	1.76E-03
472.592	1500	5204.41	3.38E-03	1.76E-03
473.592	1500	5220.688	3.38E-03	1.76E-03
474.592	1500	5222.171	3.39E-03	1.76E-03
475.592	1500	5237.877	3.39E-03	1.76E-03
476.592	1500	5252.398	3.40E-03	1.76E-03
477.592	1500	5274.958	3.40E-03	1.76E-03
478.592	1500	5276.555	3.41E-03	1.76E-03
479.592	1500	5296.313	3.41E-03	1.75E-03
480.592	1500	5308.78	3.42E-03	1.75E-03
481.592	1500	5306.608	3.42E-03	1.75E-03
482.592	1500	5321.812	3.42E-03	1.75E-03
483.592	1500	5338.889	3.43E-03	1.75E-03
484.592	1500	5344.282	3.43E-03	1.75E-03
485.592	1500	5368.612	3.44E-03	1.75E-03
486.592	1500	5378.651	3.44E-03	1.75E-03
487.592	1500	5372.841	3.44E-03	1.75E-03
488.592	1500	5402.597	3.45E-03	1.75E-03
489.592	1500	5413.282	3.45E-03	1.75E-03
490.592	1500	5417.047	3.45E-03	1.75E-03
490.602	1500	5418.973	3.45E-03	1.75E-03
491.602	1500	5384.681	3.45E-03	1.75E-03
492.602	1500	5360.255	3.44E-03	1.75E-03
493.602	1500	5348.998	3.44E-03	1.75E-03
494.602	1500	5308.755	3.44E-03	1.75E-03
495.602	1500	5291.52	3.43E-03	1.76E-03
496.602	1500	5267.623	3.43E-03	1.76E-03
497.602	1500	5253.282	3.43E-03	1.76E-03
498.602	1500	5221.165	3.42E-03	1.76E-03
499.602	1500	5213.729	3.42E-03	1.77E-03
500.602	1500	5177.41	3.41E-03	1.77E-03
501.602	1500	5162.885	3.41E-03	1.77E-03
502.602	1500	5146.215	3.40E-03	1.77E-03
503.602	1500	5119.722	3.40E-03	1.77E-03
504.602	1500	5089.783	3.40E-03	1.78E-03
505.602	1500	5083.902	3.39E-03	1.78E-03
506.602	1500	5043.277	3.39E-03	1.78E-03
507.602	1500	5038.761	3.39E-03	1.78E-03
508.602	1500	5005.152	3.38E-03	1.78E-03
509.602	1500	4969.637	3.38E-03	1.79E-03
510.602	1500	4955.458	3.37E-03	1.79E-03
511.602	1500	4946.857	3.37E-03	1.79E-03
512.602	1500	4928.204	3.37E-03	1.79E-03
513.602	1500	4894.474	3.36E-03	1.79E-03
514.602	1500	4875.187	3.35E-03	1.79E-03
515.602	1500	4843.456	3.35E-03	1.79E-03
516.602	1500	4844.154	3.35E-03	1.79E-03
517.602	1500	4828.583	3.35E-03	1.79E-03
518.602	1500	4800.834	3.34E-03	1.80E-03
519.602	1500	4785.362	3.34E-03	1.80E-03
520.602	1500	4766.661	3.33E-03	1.80E-03
521.602	1500	4743.442	3.33E-03	1.80E-03
522.602	1500	4719.732	3.32E-03	1.80E-03
523.602	1500	4700.365	3.32E-03	1.80E-03
524.13	1500	4688.954	3.32E-03	1.80E-03
525.13	1500	4715.174	3.32E-03	1.80E-03
526.13	1500	4745.616	3.33E-03	1.80E-03
527.13	1500	4764.224	3.33E-03	1.80E-03
528.13	1500	4799.204	3.34E-03	1.79E-03
529.13	1500	4816.026	3.34E-03	1.79E-03
530.13	1500	4855.872	3.35E-03	1.79E-03
531.13	1500	4888.209	3.35E-03	1.78E-03
532.13	1500	4897.32	3.35E-03	1.78E-03
533.13	1500	4916.826	3.36E-03	1.78E-03
